#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                KOREAN character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:39:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to KOREAN language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# KO16KSC5601                   840 no
# KO16DBCS                      842 yes
# KO16KSCCS                     845 no
# KO16MSWIN949                  846 yes
# KO16TSTSET                    996 no
# KO16KSC5601FIXED             1840 no
# KO16DBCSFIXED                1842 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:842     ID:846     ID:1842   
#--------- ---------- ---------- ----------
E0B3       D4F5       FEF6       D4F5      
E0B4       D4F6       FEF7       D4F6      
E0B5       D4F7       FEF8       D4F7      
E0B6       D4F8       FEF9       D4F8      
E0B7       D4F9       FEFA       D4F9      
E0B8       D4FA       FEFB       D4FA      
E0B9       D4FB       FEFC       D4FB      
E0BA       D4FC       FEFD       D4FC      
E0BB       D4FD       FEFE       D4FD      
E0BC       D541                  D541      
E0BD       D542                  D542      
E0BE       D543                  D543      
E0BF       D544                  D544      
E0C0       D545                  D545      
E0C1       D546                  D546      
E0C2       D547                  D547      
E0C3       D548                  D548      
E0C4       D549                  D549      
E0C5       D54A                  D54A      
E0C6       D54B                  D54B      
E0C7       D54C                  D54C      
E0C8       D54D                  D54D      
E0C9       D54E                  D54E      
E0CA       D54F                  D54F      
E0CB       D550                  D550      
E0CC       D551                  D551      
E0CD       D552                  D552      
E0CE       D553                  D553      
E0CF       D554                  D554      
E0D0       D555                  D555      
E0D1       D556                  D556      
E0D2       D557                  D557      
E0D3       D558                  D558      
E0D4       D559                  D559      
E0D5       D55A                  D55A      
E0D6       D55B                  D55B      
E0D7       D55C                  D55C      
E0D8       D55D                  D55D      
E0D9       D55E                  D55E      
E0DA       D55F                  D55F      
E0DB       D560                  D560      
E0DC       D561                  D561      
E0DD       D562                  D562      
E0DE       D563                  D563      
E0DF       D564                  D564      
E0E0       D565                  D565      
E0E1       D566                  D566      
E0E2       D567                  D567      
E0E3       D568                  D568      
E0E4       D569                  D569      
E0E5       D56A                  D56A      
E0E6       D56B                  D56B      
E0E7       D56C                  D56C      
E0E8       D56D                  D56D      
E0E9       D56E                  D56E      
