#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                SIMPLIFIED CHINESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to SIMPLIFIED CHINESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# ZHS16CGB231280                850 no
# ZHS16MACCGB231280             851 no
# ZHS16GBK                      852 yes
# ZHS16DBCS                     853 yes
# ZHS16CGB231280FIXED          1850 no
# ZHS16GBKFIXED                1852 yes
# ZHS16DBCSFIXED               1853 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:852     ID:853     ID:1852    ID:1853   
#--------- ---------- ---------- ---------- ----------
E098       ABDB       76DA       ABDB       76DA      
E099       ABDC       76DB       ABDC       76DB      
E09A       ABDD       76DC       ABDD       76DC      
E09B       ABDE       76DD       ABDE       76DD      
E09C       ABDF       76DE       ABDF       76DE      
E09D       ABE0       76DF       ABE0       76DF      
E09E       ABE1       76E0       ABE1       76E0      
E09F       ABE2       76E1       ABE2       76E1      
E0A0       ABE3       76E2       ABE3       76E2      
E0A1       ABE4       76E3       ABE4       76E3      
E0A2       ABE5       76E4       ABE5       76E4      
E0A3       ABE6       76E5       ABE6       76E5      
E0A4       ABE7       76E6       ABE7       76E6      
E0A5       ABE8       76E7       ABE8       76E7      
E0A6       ABE9       76E8       ABE9       76E8      
E0A7       ABEA       76E9       ABEA       76E9      
E0A8       ABEB       76EA       ABEB       76EA      
E0A9       ABEC       76EB       ABEC       76EB      
E0AA       ABED       76EC       ABED       76EC      
E0AB       ABEE       76ED       ABEE       76ED      
E0AC       ABEF       76EE       ABEF       76EE      
E0AD       ABF0       76EF       ABF0       76EF      
E0AE       ABF1       76F0       ABF1       76F0      
E0AF       ABF2       76F1       ABF2       76F1      
E0B0       ABF3       76F2       ABF3       76F2      
E0B1       ABF4       76F3       ABF4       76F3      
E0B2       ABF5       76F4       ABF5       76F4      
E0B3       ABF6       76F5       ABF6       76F5      
E0B4       ABF7       76F6       ABF7       76F6      
E0B5       ABF8       76F7       ABF8       76F7      
E0B6       ABF9       76F8       ABF9       76F8      
E0B7       ABFA       76F9       ABFA       76F9      
E0B8       ABFB       76FA       ABFB       76FA      
E0B9       ABFC       76FB       ABFC       76FB      
E0BA       ABFD       76FC       ABFD       76FC      
E0BB       ABFE       76FD       ABFE       76FD      
E0BC       ACA1       7741       ACA1       7741      
E0BD       ACA2       76FE       ACA2       76FE      
E0BE       ACA3       7743       ACA3       7743      
E0BF       ACA4       7744       ACA4       7744      
E0C0       ACA5       7745       ACA5       7745      
E0C1       ACA6       7746       ACA6       7746      
E0C2       ACA7       7747       ACA7       7747      
E0C3       ACA8       7748       ACA8       7748      
E0C4       ACA9       7749       ACA9       7749      
E0C5       ACAA       774A       ACAA       774A      
E0C6       ACAB       774B       ACAB       774B      
E0C7       ACAC       774C       ACAC       774C      
E0C8       ACAD       774D       ACAD       774D      
E0C9       ACAE       774E       ACAE       774E      
E0CA       ACAF       774F       ACAF       774F      
E0CB       ACB0       7750       ACB0       7750      
E0CC       ACB1       7751       ACB1       7751      
E0CD       ACB2       7752       ACB2       7752      
E0CE       ACB3       7753       ACB3       7753      
E0CF       ACB4       7754       ACB4       7754      
E0D0       ACB5       7755       ACB5       7755      
E0D1       ACB6       7756       ACB6       7756      
E0D2       ACB7       7757       ACB7       7757      
E0D3       ACB8       7758       ACB8       7758      
E0D4       ACB9       7759       ACB9       7759      
E0D5       ACBA       775A       ACBA       775A      
E0D6       ACBB       775B       ACBB       775B      
E0D7       ACBC       775C       ACBC       775C      
E0D8       ACBD       775D       ACBD       775D      
E0D9       ACBE       775E       ACBE       775E      
E0DA       ACBF       775F       ACBF       775F      
E0DB       ACC0       7760       ACC0       7760      
E0DC       ACC1       7761       ACC1       7761      
E0DD       ACC2       7762       ACC2       7762      
E0DE       ACC3       7763       ACC3       7763      
E0DF       ACC4       7764       ACC4       7764      
E0E0       ACC5       7765       ACC5       7765      
E0E1       ACC6       7766       ACC6       7766      
E0E2       ACC7       7767       ACC7       7767      
E0E3       ACC8       7768       ACC8       7768      
E0E4       ACC9       7769       ACC9       7769      
E0E5       ACCA       776A       ACCA       776A      
E0E6       ACCB       776B       ACCB       776B      
E0E7       ACCC       776C       ACCC       776C      
E0E8       ACCD       776D       ACCD       776D      
E0E9       ACCE       776E       ACCE       776E      
E0EA       ACCF       776F       ACCF       776F      
E0EB       ACD0       7770       ACD0       7770      
E0EC       ACD1       7771       ACD1       7771      
E0ED       ACD2       7772       ACD2       7772      
E0EE       ACD3       7773       ACD3       7773      
E0EF       ACD4       7774       ACD4       7774      
E0F0       ACD5       7775       ACD5       7775      
E0F1       ACD6       7776       ACD6       7776      
E0F2       ACD7       7777       ACD7       7777      
E0F3       ACD8       7778       ACD8       7778      
E0F4       ACD9       7779       ACD9       7779      
E0F5       ACDA       777A       ACDA       777A      
E0F6       ACDB       777B       ACDB       777B      
E0F7       ACDC       777C       ACDC       777C      
E0F8       ACDD       777D       ACDD       777D      
E0F9       ACDE       777E       ACDE       777E      
E0FA       ACDF       777F       ACDF       777F      
E0FB       ACE0       7781       ACE0       7781      
E0FC       ACE1       7782       ACE1       7782      
E0FD       ACE2       7780       ACE2       7780      
E0FE       ACE3       7784       ACE3       7784      
E0FF       ACE4       7785       ACE4       7785      
E100       ACE5       7786       ACE5       7786      
E101       ACE6       7787       ACE6       7787      
E102       ACE7       7788       ACE7       7788      
E103       ACE8       7789       ACE8       7789      
E104       ACE9       778A       ACE9       778A      
E105       ACEA       778B       ACEA       778B      
E106       ACEB       778C       ACEB       778C      
E107       ACEC       778D       ACEC       778D      
E108       ACED       778E       ACED       778E      
E109       ACEE       778F       ACEE       778F      
E10A       ACEF       7790       ACEF       7790      
E10B       ACF0       7791       ACF0       7791      
E10C       ACF1       7792       ACF1       7792      
E10D       ACF2       7793       ACF2       7793      
E10E       ACF3       7794       ACF3       7794      
E10F       ACF4       7795       ACF4       7795      
E110       ACF5       7796       ACF5       7796      
E111       ACF6       7797       ACF6       7797      
E112       ACF7       7798       ACF7       7798      
E113       ACF8       7799       ACF8       7799      
E114       ACF9       779A       ACF9       779A      
