#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                JAPANESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:46 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to JAPANESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# JA16VMS                       829 no
# JA16EUC                       830 no
# JA16EUCYEN                    831 no
# JA16SJIS                      832 yes
# JA16DBCS                      833 yes
# JA16SJISYEN                   834 yes
# JA16EBCDIC930                 835 yes
# JA16MACSJIS                   836 no
# JA16TSTSET2                   997 no
# JA16TSTSET                    998 no
# JA16EUCFIXED                 1830 no
# JA16SJISFIXED                1832 yes
# JA16DBCSFIXED                1833 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:832     ID:833     ID:834     ID:835     ID:1832    ID:1833   
#--------- ---------- ---------- ---------- ---------- ---------- ----------
E0BD       F141       69FE       F141       69FE       F141       69FE      
E0BE       F142       6A41       F142       6A41       F142       6A41      
E0BF       F143       6A42       F143       6A42       F143       6A42      
E0C0       F144       6A43       F144       6A43       F144       6A43      
E0C1       F145       6A44       F145       6A44       F145       6A44      
E0C2       F146       6A45       F146       6A45       F146       6A45      
E0C3       F147       6A46       F147       6A46       F147       6A46      
E0C4       F148       6A47       F148       6A47       F148       6A47      
E0C5       F149       6A48       F149       6A48       F149       6A48      
E0C6       F14A       6A49       F14A       6A49       F14A       6A49      
E0C7       F14B       6A4A       F14B       6A4A       F14B       6A4A      
E0C8       F14C       6A4B       F14C       6A4B       F14C       6A4B      
E0C9       F14D       6A4C       F14D       6A4C       F14D       6A4C      
E0CA       F14E       6A4D       F14E       6A4D       F14E       6A4D      
E0CB       F14F       6A4E       F14F       6A4E       F14F       6A4E      
E0CC       F150       6A4F       F150       6A4F       F150       6A4F      
E0CD       F151       6A50       F151       6A50       F151       6A50      
E0CE       F152       6A51       F152       6A51       F152       6A51      
E0CF       F153       6A52       F153       6A52       F153       6A52      
E0D0       F154       6A53       F154       6A53       F154       6A53      
E0D1       F155       6A54       F155       6A54       F155       6A54      
E0D2       F156       6A55       F156       6A55       F156       6A55      
E0D3       F157       6A56       F157       6A56       F157       6A56      
E0D4       F158       6A57       F158       6A57       F158       6A57      
E0D5       F159       6A58       F159       6A58       F159       6A58      
E0D6       F15A       6A59       F15A       6A59       F15A       6A59      
E0D7       F15B       6A5A       F15B       6A5A       F15B       6A5A      
E0D8       F15C       6A5B       F15C       6A5B       F15C       6A5B      
E0D9       F15D       6A5C       F15D       6A5C       F15D       6A5C      
E0DA       F15E       6A5D       F15E       6A5D       F15E       6A5D      
E0DB       F15F       6A5E       F15F       6A5E       F15F       6A5E      
E0DC       F160       6A5F       F160       6A5F       F160       6A5F      
E0DD       F161       6A60       F161       6A60       F161       6A60      
E0DE       F162       6A61       F162       6A61       F162       6A61      
E0DF       F163       6A62       F163       6A62       F163       6A62      
E0E0       F164       6A63       F164       6A63       F164       6A63      
E0E1       F165       6A64       F165       6A64       F165       6A64      
E0E2       F166       6A65       F166       6A65       F166       6A65      
E0E3       F167       6A66       F167       6A66       F167       6A66      
E0E4       F168       6A67       F168       6A67       F168       6A67      
E0E5       F169       6A68       F169       6A68       F169       6A68      
E0E6       F16A       6A69       F16A       6A69       F16A       6A69      
E0E7       F16B       6A6A       F16B       6A6A       F16B       6A6A      
E0E8       F16C       6A6B       F16C       6A6B       F16C       6A6B      
E0E9       F16D       6A6C       F16D       6A6C       F16D       6A6C      
E0EA       F16E       6A6D       F16E       6A6D       F16E       6A6D      
E0EB       F16F       6A6E       F16F       6A6E       F16F       6A6E      
E0EC       F170       6A6F       F170       6A6F       F170       6A6F      
E0ED       F171       6A70       F171       6A70       F171       6A70      
E0EE       F172       6A71       F172       6A71       F172       6A71      
E0EF       F173       6A72       F173       6A72       F173       6A72      
E0F0       F174       6A73       F174       6A73       F174       6A73      
E0F1       F175       6A74       F175       6A74       F175       6A74      
E0F2       F176       6A75       F176       6A75       F176       6A75      
E0F3       F177       6A76       F177       6A76       F177       6A76      
E0F4       F178       6A77       F178       6A77       F178       6A77      
E0F5       F179       6A78       F179       6A78       F179       6A78      
E0F6       F17A       6A79       F17A       6A79       F17A       6A79      
E0F7       F17B       6A7A       F17B       6A7A       F17B       6A7A      
E0F8       F17C       6A7B       F17C       6A7B       F17C       6A7B      
E0F9       F17D       6A7C       F17D       6A7C       F17D       6A7C      
E0FA       F17E       6A7D       F17E       6A7D       F17E       6A7D      
E0FB       F180       6A7E       F180       6A7E       F180       6A7E      
E0FC       F181       6A7F       F181       6A7F       F181       6A7F      
E0FD       F182       6A80       F182       6A80       F182       6A80      
E0FE       F183       6A81       F183       6A81       F183       6A81      
E0FF       F184       6A82       F184       6A82       F184       6A82      
E100       F185       6A83       F185       6A83       F185       6A83      
E101       F186       6A84       F186       6A84       F186       6A84      
E102       F187       6A85       F187       6A85       F187       6A85      
E103       F188       6A86       F188       6A86       F188       6A86      
E104       F189       6A87       F189       6A87       F189       6A87      
E105       F18A       6A88       F18A       6A88       F18A       6A88      
E106       F18B       6A89       F18B       6A89       F18B       6A89      
E107       F18C       6A8A       F18C       6A8A       F18C       6A8A      
E108       F18D       6A8B       F18D       6A8B       F18D       6A8B      
E109       F18E       6A8C       F18E       6A8C       F18E       6A8C      
E10A       F18F       6A8D       F18F       6A8D       F18F       6A8D      
E10B       F190       6A8E       F190       6A8E       F190       6A8E      
